fold,batch,frac,seed,method,acc,subject
2,4,0.1,3,standard,77.22222222222223,S01
2,4,0.1,3,reject,81.11111111111113,S01
2,4,0.1,3,winsorize,20.555555555555554,S01
2,4,0.2,0,standard,71.11111111111111,S01
2,4,0.2,0,reject,80.0,S01
2,4,0.2,0,winsorize,11.11111111111111,S01
2,4,0.2,1,standard,72.22222222222221,S01
2,4,0.2,1,reject,80.0,S01
2,4,0.2,1,winsorize,11.11111111111111,S01
2,4,0.2,2,standard,71.11111111111111,S01
2,4,0.2,2,reject,80.0,S01
2,4,0.2,2,winsorize,11.11111111111111,S01
2,4,0.2,3,standard,72.22222222222221,S01
2,4,0.2,3,reject,80.55555555555556,S01
2,4,0.2,3,winsorize,11.11111111111111,S01
2,5,0.0,0,standard,74.44444444444444,S01
2,5,0.0,0,reject,75.00000000000001,S01
2,5,0.0,0,winsorize,70.55555555555554,S01
2,5,0.0,1,standard,74.44444444444444,S01
2,5,0.0,1,reject,75.00000000000001,S01
2,5,0.0,1,winsorize,70.55555555555554,S01
2,5,0.0,2,standard,74.44444444444444,S01
2,5,0.0,2,reject,75.00000000000001,S01
2,5,0.0,2,winsorize,70.55555555555554,S01
2,5,0.0,3,standard,74.44444444444444,S01
2,5,0.0,3,reject,75.00000000000001,S01
2,5,0.0,3,winsorize,70.55555555555554,S01
2,5,0.05,0,standard,71.66666666666667,S01
2,5,0.05,0,reject,73.88888888888889,S01
2,5,0.05,0,winsorize,53.888888888888886,S01
2,5,0.05,1,standard,71.66666666666666,S01
2,5,0.05,1,reject,74.44444444444444,S01
2,5,0.05,1,winsorize,50.0,S01
2,5,0.05,2,standard,72.22222222222221,S01
2,5,0.05,2,reject,74.44444444444444,S01
2,5,0.05,2,winsorize,55.55555555555556,S01
2,5,0.05,3,standard,72.22222222222221,S01
2,5,0.05,3,reject,73.88888888888889,S01
2,5,0.05,3,winsorize,48.88888888888889,S01
2,5,0.1,0,standard,71.66666666666666,S01
2,5,0.1,0,reject,73.33333333333334,S01
2,5,0.1,0,winsorize,18.88888888888889,S01
2,5,0.1,1,standard,70.0,S01
2,5,0.1,1,reject,73.33333333333334,S01
2,5,0.1,1,winsorize,17.77777777777778,S01
2,5,0.1,2,standard,70.55555555555554,S01
2,5,0.1,2,reject,73.33333333333334,S01
2,5,0.1,2,winsorize,17.77777777777778,S01
2,5,0.1,3,standard,70.0,S01
2,5,0.1,3,reject,73.33333333333334,S01
2,5,0.1,3,winsorize,16.666666666666664,S01
2,5,0.2,0,standard,66.11111111111111,S01
2,5,0.2,0,reject,73.33333333333334,S01
2,5,0.2,0,winsorize,11.11111111111111,S01
2,5,0.2,1,standard,66.11111111111111,S01
2,5,0.2,1,reject,73.33333333333334,S01
2,5,0.2,1,winsorize,11.11111111111111,S01
2,5,0.2,2,standard,66.66666666666666,S01
2,5,0.2,2,reject,73.33333333333334,S01
2,5,0.2,2,winsorize,11.11111111111111,S01
2,5,0.2,3,standard,67.22222222222221,S01
2,5,0.2,3,reject,73.33333333333334,S01
2,5,0.2,3,winsorize,11.11111111111111,S01
3,2,0.0,0,standard,86.11111111111111,S01
3,2,0.0,0,reject,86.11111111111111,S01
3,2,0.0,0,winsorize,59.44444444444446,S01
3,2,0.0,1,standard,86.11111111111111,S01
3,2,0.0,1,reject,86.11111111111111,S01
3,2,0.0,1,winsorize,59.44444444444446,S01
3,2,0.0,2,standard,86.11111111111111,S01
3,2,0.0,2,reject,86.11111111111111,S01
3,2,0.0,2,winsorize,59.44444444444446,S01
3,2,0.0,3,standard,86.11111111111111,S01
3,2,0.0,3,reject,86.11111111111111,S01
3,2,0.0,3,winsorize,59.44444444444446,S01
3,2,0.05,0,standard,87.22222222222223,S01
3,2,0.05,0,reject,87.22222222222223,S01
3,2,0.05,0,winsorize,64.44444444444444,S01
3,2,0.05,1,standard,87.22222222222223,S01
3,2,0.05,1,reject,86.66666666666667,S01
3,2,0.05,1,winsorize,56.111111111111114,S01
3,2,0.05,2,standard,87.22222222222223,S01
3,2,0.05,2,reject,86.66666666666667,S01
