fold,batch,frac,seed,method,acc,subject
2,3,0.0,4,standard,83.33333333333334,S01
2,3,0.0,4,robust,84.44444444444446,S01
2,3,0.0,5,standard,83.33333333333334,S01
2,3,0.0,5,robust,84.44444444444446,S01
2,3,0.02,0,standard,79.44444444444446,S01
2,3,0.02,0,robust,85.00000000000001,S01
2,3,0.02,1,standard,79.44444444444446,S01
2,3,0.02,1,robust,85.00000000000001,S01
2,3,0.02,2,standard,80.55555555555556,S01
2,3,0.02,2,robust,84.44444444444446,S01
2,3,0.02,3,standard,78.88888888888889,S01
2,3,0.02,3,robust,84.44444444444446,S01
2,3,0.02,4,standard,80.0,S01
2,3,0.02,4,robust,83.33333333333334,S01
2,3,0.02,5,standard,79.44444444444446,S01
2,3,0.02,5,robust,85.00000000000001,S01
2,3,0.05,0,standard,80.0,S01
2,3,0.05,0,robust,84.44444444444446,S01
2,3,0.05,1,standard,77.22222222222221,S01
2,3,0.05,1,robust,84.44444444444446,S01
2,3,0.05,2,standard,80.55555555555556,S01
2,3,0.05,2,robust,84.44444444444446,S01
2,3,0.05,3,standard,79.44444444444444,S01
2,3,0.05,3,robust,83.33333333333334,S01
2,3,0.05,4,standard,81.11111111111111,S01
2,3,0.05,4,robust,82.77777777777779,S01
2,3,0.05,5,standard,79.44444444444446,S01
2,3,0.05,5,robust,83.88888888888889,S01
2,3,0.1,0,standard,76.11111111111111,S01
2,3,0.1,0,robust,83.88888888888889,S01
2,3,0.1,1,standard,75.0,S01
2,3,0.1,1,robust,85.00000000000001,S01
2,3,0.1,2,standard,77.22222222222224,S01
2,3,0.1,2,robust,85.55555555555556,S01
2,3,0.1,3,standard,74.44444444444444,S01
2,3,0.1,3,robust,84.44444444444444,S01
2,3,0.1,4,standard,77.77777777777779,S01
2,3,0.1,4,robust,83.88888888888889,S01
2,3,0.1,5,standard,78.33333333333333,S01
2,3,0.1,5,robust,83.88888888888889,S01
2,3,0.2,0,standard,72.77777777777777,S01
2,3,0.2,0,robust,81.66666666666667,S01
2,3,0.2,1,standard,67.77777777777777,S01
2,3,0.2,1,robust,83.33333333333334,S01
2,3,0.2,2,standard,67.77777777777779,S01
2,3,0.2,2,robust,84.44444444444446,S01
2,3,0.2,3,standard,67.77777777777777,S01
2,3,0.2,3,robust,83.33333333333333,S01
2,3,0.2,4,standard,72.22222222222221,S01
2,3,0.2,4,robust,82.77777777777779,S01
2,3,0.2,5,standard,71.66666666666666,S01
2,3,0.2,5,robust,83.88888888888889,S01
2,4,0.0,0,standard,79.44444444444444,S01
2,4,0.0,0,robust,80.55555555555556,S01
2,4,0.0,1,standard,79.44444444444444,S01
2,4,0.0,1,robust,80.55555555555556,S01
2,4,0.0,2,standard,79.44444444444444,S01
